"country","stateProvince","municipality","country.new","stateProvince.new","municipality.new","resol.orig","loc","loc.correct","latitude.gazetteer","longitude.gazetteer","resolution.gazetteer"
"Brazil","Roraima","Iracema","brazil","roraima","iracema","municipality","brazil_NA_iracema","brazil_roraima_iracema",2.17885,-61.66986,"county"
"Brazil","Roraima","Mucajaí","brazil","roraima","mucajai","municipality","brazil_NA_mucajai","brazil_roraima_mucajai",2.186650406,-62.46906474,"county"
"Brazil","Roraima","Normandia","brazil","roraima","normandia","municipality","brazil_NA_normandia","brazil_roraima_normandia",3.878648378,-60.06379508,"county"
"Brazil","Roraima","Pacaraima","brazil","roraima","pacaraima","municipality","brazil_NA_pacaraima","brazil_roraima_pacaraima",4.16884269,-60.84432502,"county"
"Brazil","Roraima","Rorainópolis","brazil","roraima","rorainopolis","municipality","brazil_NA_rorainopolis","brazil_roraima_rorainopolis",0.037756951,-61.01049134,"county"
"Brazil","Roraima","São João da Baliza","brazil","roraima","sao joao da baliza","municipality","brazil_NA_sao joao baliza","brazil_roraima_sao joao baliza",0.635691766,-59.84485675,"county"
"Brazil","Roraima","São Luiz","brazil","roraima","sao luiz","municipality","brazil_NA_sao luiz","brazil_roraima_sao luiz",0.884365366,-60.15174559,"county"
"Brazil","Roraima","Uiramutã","brazil","roraima","uiramuta","municipality","brazil_NA_uiramuta","brazil_roraima_uiramuta",4.682422958,-60.27640857,"county"
"Brazil","Pará","Abaetetuba","brazil","para","abaetetuba","municipality","brazil_NA_abaetetuba","brazil_para_abaetetuba",-1.730313589,-48.8830317,"county"
"Brazil","Pará","Abel Figueiredo","brazil","para","abel figueiredo","municipality","brazil_NA_abel figueiredo","brazil_para_abel figueiredo",-4.957409066,-48.42456042,"county"
"Brazil","Pará","Acará","brazil","para","acara","municipality","brazil_NA_acara","brazil_para_acara",-2.03550039,-48.41145336,"county"
"Brazil","Pará","Afuá","brazil","para","afua","municipality","brazil_NA_afua","brazil_para_afua",-0.263832842,-50.72766238,"county"
"Brazil","Pará","Água Azul do Norte","brazil","para","agua azul do norte","municipality","brazil_NA_agua azul norte","brazil_para_agua azul norte",-6.772813774,-50.46043672,"county"
"Brazil","Pará","Alenquer","brazil","para","alenquer","municipality","brazil_NA_alenquer","brazil_para_alenquer",-0.536319939,-55.06987507,"county"
"Brazil","Pará","Almeirim","brazil","para","almeirim","municipality","brazil_NA_almeirim","brazil_para_almeirim",0.284478936,-53.89358505,"county"
"Brazil","Pará","Altamira","brazil","para","altamira","municipality","brazil_NA_altamira","brazil_para_altamira",-6.482663544,-53.88503765,"county"
"Brazil","Pará","Anajás","brazil","para","anajas","municipality","brazil_NA_anajas","brazil_para_anajas",-0.827067556,-49.96205838,"county"
"Brazil","Pará","Ananindeua","brazil","para","ananindeua","municipality","brazil_NA_ananindeua","brazil_para_ananindeua",-1.336392801,-48.38265929,"county"
